,X,Condition,Price,Model_Year,Mileage,Exterior_Color,Make,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
55,55,Used,10762.34,2003,21300,black,Harley-Davidson,Touring,100,381,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
56,56,Used,13077.5,2008,34530,red,Harley-Davidson,Other,100,40,Private Seller,FALSE,TRUE,1,FALSE,FALSE,FALSE,0,0
57,57,Used,15287.22,2007,10700,blue,Harley-Davidson,Touring,100,181,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
58,58,Used,26013.91,2012,22000,red,Harley-Davidson,Touring,100,30,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
59,59,Used,1209.77,2003,48985,blue,Harley-Davidson,Touring,100,57,Private Seller,TRUE,TRUE,1,FALSE,FALSE,FALSE,1,1
60,60,Used,17616.41,2015,2571,blue,Harley-Davidson,Touring,100,8134,Private Seller,TRUE,TRUE,1,FALSE,FALSE,TRUE,0.8,0.75
61,61,Used,21049.38,2016,955,blue,Harley-Davidson,Touring,100,1,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
62,62,Used,928.84,1985,26000,green,Kawasaki,Touring,100,520,Owner,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
63,63,Used,3692.91,1990,30000,other,Harley-Davidson,Other,100,169,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
64,64,Used,26098.64,2017,1067,blue,Harley-Davidson,Touring,100,127,other,FALSE,TRUE,1,FALSE,FALSE,TRUE,5.55E-17,0.633333333
65,65,Used,6816.82,2016,1700,black,BMW,Naked,100,383,Private Seller,TRUE,TRUE,1,FALSE,FALSE,TRUE,0.136363636,0.454545455
66,66,Used,926.4,1978,999999,blue,Kawasaki,Dual-Purpose,9.9,42714,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
67,67,Used,6571.27,2003,46000,black,Harley-Davidson,Touring,9.4,2823,Private Seller,FALSE,TRUE,2,FALSE,FALSE,FALSE,0.568181818,0.727272727
68,68,Used,8347.47,2005,19010,yellow,BMW,Other,100,86,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
69,69,New,17027,2016,0,red,Honda,Dual-Purpose,100,1645,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
70,70,Used,7038.42,2007,9490,black,Harley-Davidson,Standard,100,50,Private Seller,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
71,71,Used,4680.15,2006,3964,black,Harley-Davidson,Cruiser,100,180,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
72,72,Used,14627.67,2008,12500,black,Harley-Davidson,Touring,100,94,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
73,73,Used,8681.87,2008,20000,black,Harley-Davidson,Touring,100,163,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
74,74,Used,12758.68,2015,216,grey,Harley-Davidson,Cruiser,100,715,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.136363636,0.454545455
75,75,Used,15307.62,2012,2182,yellow,Harley-Davidson,Cruiser,100,319,Private Seller,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,0
76,76,Used,317.7,1973,13098,green,Honda,Standard,100,68,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
77,77,Used,1044.85,2011,18300,red,Harley-Davidson,Touring,100,116,Owner,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
78,78,Used,62907.22,2016,3355,other,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
79,79,Used,20249.57,2008,3800,black,Harley-Davidson,Touring,100,194,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
80,80,Used,32918.4,2015,2100,black,Harley-Davidson,Other,100,347,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
81,81,Used,6476.16,2003,13015,other,Harley-Davidson,Cruiser,100,292,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
82,82,Used,26065.31,2017,241,black,Harley-Davidson,Touring,100,762,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
83,83,Used,67967.52,2017,3335,orange,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
84,84,Used,7717.97,2009,18081,black,Harley-Davidson,Cruiser,9.8,6229,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
85,85,Used,21177.72,2016,1377,black,Harley-Davidson,Touring,100,65,Private Seller,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
86,86,Used,7032.73,2003,17225,black,Harley-Davidson,Cruiser,100,72,Private Seller,TRUE,FALSE,2,FALSE,FALSE,FALSE,0.445454545,0.651515152
87,87,Used,32889.46,2006,7000,black,Harley-Davidson,Sport Bike,100,56,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
88,88,Used,2304.13,1989,11390,blue,Harley-Davidson,Touring,100,129,Private Seller,TRUE,TRUE,2,FALSE,FALSE,FALSE,0.3375,0.76
89,89,Used,19521.24,2016,11703,black,Other,Touring,100,390,other,FALSE,TRUE,1,TRUE,FALSE,TRUE,-0.092757937,0.192063492
90,90,Used,7512.16,2006,65100,other,Harley-Davidson,Touring,100,1028,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
91,91,Used,65195.66,2017,770,other,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
92,92,Used,6205.85,2016,500,grey,Yamaha,Sport Bike,100,520,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
93,93,New,4068.54,2016,1,blue,Yamaha,Naked,9.2,5605,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
94,94,Used,4814.82,1975,750,black,Harley-Davidson,Cruiser,100,3,Private Seller,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.583333333,0.666666667
95,95,Used,5535.85,2013,13727,white,Harley-Davidson,Standard,100,10701,other,TRUE,FALSE,4,FALSE,FALSE,FALSE,0.326666667,0.573333333
96,96,Used,4611.27,2004,10650,red,Harley-Davidson,Cruiser,100,22,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
97,97,Used,19521.24,2016,11703,black,Other,Touring,100,390,other,FALSE,TRUE,1,TRUE,FALSE,TRUE,-0.092757937,0.192063492
98,98,Used,6495.39,2010,8610,red,Harley-Davidson,Cruiser,100,22,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
99,99,Used,2361.04,1974,4006,blue,Honda,Café Racer,100,51,Owner,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
100,100,Used,7512.16,2006,65100,other,Harley-Davidson,Touring,100,1028,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
101,101,Used,65195.66,2017,770,other,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
102,102,Used,7240.9,1996,8250,other,Harley-Davidson,Touring,100,56,Private Seller,TRUE,TRUE,2,TRUE,FALSE,FALSE,0.340151515,0.468181818
103,103,Used,14225.98,2012,540,other,Harley-Davidson,Sport Bike,100,661,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
104,104,Used,5163.32,2008,19300,blue,Harley-Davidson,Cruiser,100,1,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
105,105,Used,22076.64,2014,5860,white,Harley-Davidson,Touring,100,762,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
106,106,Used,10319.14,2002,24000,red,Harley-Davidson,Cruiser,100,77,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
107,107,Used,427.68,2007,27784,red,Harley-Davidson,Touring,100,616,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
108,108,Used,42179.64,2016,300,other,Harley-Davidson,Touring,100,14,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
109,109,Used,17783.95,1975,9001,black,Harley-Davidson,Touring,100,44,Private Seller,TRUE,FALSE,1,FALSE,FALSE,FALSE,-0.05,0.266666667
110,110,Used,10324.85,2002,13562,red,Harley-Davidson,Cruiser,100,292,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
111,111,Used,11337.71,2008,38484,black,Harley-Davidson,Touring,100,762,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0.122222222,0.155555556
112,112,Used,2294.85,1976,13161,other,Kawasaki,Sport Bike,100,9,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
113,113,Used,19918.53,2014,713,red,Harley-Davidson,Cruiser,100,1201,Private Seller,FALSE,TRUE,1,FALSE,FALSE,FALSE,0.6,0.9
114,114,New,3810.84,2017,1,grey,Kawasaki,Naked,100,876,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
115,115,Used,7694.43,2008,17267,black,Harley-Davidson,Cruiser,100,616,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
116,116,Used,22699.77,2015,7023,black,Harley-Davidson,Touring,100,499,other,TRUE,FALSE,3,TRUE,FALSE,FALSE,0.566666667,0.788888889
