"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"1827","New",10556.36,2016,0,"grey","Honda","Cruiser",100,903,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1398","Used",4707.22,2002,71368,"other","Honda","Touring",100,135,"Private Seller",TRUE,TRUE,2,FALSE,0,FALSE,0.353333333,0.81
"5144","Used",15826.23,2009,47902,"red","Harley-Davidson","Touring",100,168,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3282","Used",18305.53,2014,28209,"black","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1102","Used",1552.47,2008,2844,"black","Yamaha","Cruiser",100,193,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"669","Used",11048.62,2005,11697,"black","Harley-Davidson","Cruiser",100,297819,"other",FALSE,TRUE,1,FALSE,0,FALSE,0.433333333,0.516666667
"2470","Used",773.88,1982,22817,"blue","Suzuki","Standard",6.8,190,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,1,1
"4783","Used",12007.26,2014,3374,"red","Yamaha","Sport Bike",100,163,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3096","Used",15251.2,2012,13094,"red","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3787","Used",25789.02,2017,445,"orange","Other","Gasoline",100,60,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1841","New",5806.14,2016,0,"blue","Kawasaki","Cruiser",6.6,372,"other",TRUE,FALSE,0,FALSE,0,TRUE,0,0
"2226","Used",2855.11,2007,13215,"black","Yamaha","Cruiser",100,286,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"765","Used",9085.89,1998,19170,"black","Harley-Davidson","Cruiser",75,467,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
